62007	SE
62006	NW
62005	SW
62004	Center
62012	Limgrave, East
62011	Weeping Peninsula
62010	Limgrave, West
62009	N
62008	NE
62022	Liurnia, West
62021	Liurnia, North
62020	Liurnia, East
62031	Leyndell, Royal Capital
62030	Altus Plateur
62032	Mt. Gelmir
62041	Dragonbarrow
62040	Caelid
62052	Mountaintops of the Giants, North
62051	Mountaintops of the Giants, East
62050	Mountaintops of the Giants, West
62063	Siofra River
62062	Mohgwyn Palace
62061	Lake of Rot
62060	Ainsel River
62064	Deeprooth Depths
62103	Stormfoot Catacombs
62102	Fringefolk Hero's Cave
82001	Show underground
62053	Consecrated Snowfield
62080	DLC: Gravesite Plain
62081	DLC: Scadu Altus
62082	DLC: Southern Shore
62083	DLC: Rauh Ruins
62084	DLC: Abyss
