71190	RoundtableHold	Table of Lost Grace / Roundtable Hold
76108	Limgrave	Agheel Lake North
76106	Limgrave	Agheel Lake South
76110	Limgrave	Church of Dragon Communion
76100	Limgrave	Church of Elleh
73115	Limgrave	Coastal Cave
76105	Limgrave	Fort Haight West
76111	Limgrave	Gatefront
73103	Limgrave	Groveside Cave
73117	Limgrave	Highroad Cave
76103	Limgrave	Artist's Shack (Limgrave)
73201	Limgrave	Limgrave Tunnels
76114	Limgrave	Mistwood Outskirts
73004	Limgrave	Murkwater Catacombs
73100	Limgrave	Murkwater Cave
76116	Limgrave	Murkwater Coast
76113	Limgrave	Seaside Ruins
73002	Limgrave	Stormfoot Catacombs
76119	Limgrave	Summonwater Village Outskirts
76101	Limgrave	The First Step
76104	Limgrave	Third Church of Marika
76120	Limgrave	Waypoint Ruins Cellar
71800	StrandedGraveyard	Cave of Knowledge
71801	StrandedGraveyard	Stranded Graveyard
71002	Stormhill	Castleward Tunnel
73011	Stormhill	Deathtouched Catacombs
73412	Stormhill	Divine Tower of Limgrave
73410	Stormhill	Limgrave Tower Bridge
71001	Stormhill	Margit, the Fell Omen
76117	Stormhill	Saintsbridge
76102	Stormhill	Stormhill Shack
76118	Stormhill	Warmaster's Shack
76154	WeepingPeninsula	Ailing Village Outskirts
76159	WeepingPeninsula	Behind The Castle
76155	WeepingPeninsula	Beside the Crater-Pocked Glade
76160	WeepingPeninsula	Beside the Rampart Gaol
76157	WeepingPeninsula	Bridge of Sacrifice
76158	WeepingPeninsula	Castle Morne Lift
76151	WeepingPeninsula	Castle Morne Rampart
76150	WeepingPeninsula	Church of Pilgrimage
73101	WeepingPeninsula	Earthbore Cave
76162	WeepingPeninsula	Fourth Church of Marika
73001	WeepingPeninsula	Impaler's Catacombs
76156	WeepingPeninsula	Isolated Merchant's Shack (Limgrave)
76161	WeepingPeninsula	Morne Moangrave
73200	WeepingPeninsula	Morne Tunnel
76153	WeepingPeninsula	South of the Lookout Tower
76152	WeepingPeninsula	Tombsward
73000	WeepingPeninsula	Tombsward Catacombs
73102	WeepingPeninsula	Tombsward Cave
71003	StormveilCastle	Gateside Chamber
71000	StormveilCastle	Godrick the Grafted
71006	StormveilCastle	Liftside Chamber
71005	StormveilCastle	Rampart Tower
71007	StormveilCastle	Secluded Cell
71004	StormveilCastle	Stormveil Cliffside
71008	StormveilCastle	Stormveil Main Gate
73106	LiurniaOfTheLakes	Academy Crystal Cave
76204	LiurniaOfTheLakes	Academy Gate Town
76238	LiurniaOfTheLakes	Behind Caria Manor
73005	LiurniaOfTheLakes	Black Knife Catacombs
76216	LiurniaOfTheLakes	Boilprawn Shack
76224	LiurniaOfTheLakes	Church of Vows
73006	LiurniaOfTheLakes	Cliffbottom Catacombs
76237	LiurniaOfTheLakes	Converted Tower
76243	LiurniaOfTheLakes	Crystalline Woods
73422	LiurniaOfTheLakes	Divine Tower of Liurnia
76223	LiurniaOfTheLakes	Eastern Liurnia Lake Shore
76234	LiurniaOfTheLakes	Eastern Tableland
76242	LiurniaOfTheLakes	East Gate Bridge Trestle
76236	LiurniaOfTheLakes	Fallen Ruins of the Lake
76219	LiurniaOfTheLakes	Folly on the Lake
76210	LiurniaOfTheLakes	Foot of the Four Belfries
76222	LiurniaOfTheLakes	Gate Town Bridge
76233	LiurniaOfTheLakes	Gate Town North
76245	LiurniaOfTheLakes	Jarburg
76200	LiurniaOfTheLakes	Lake-Facing Cliffs
73105	LiurniaOfTheLakes	Lakeside Crystal Cave
76202	LiurniaOfTheLakes	Laskyar Ruins
76221	LiurniaOfTheLakes	Liurnia Highway North
76244	LiurniaOfTheLakes	Liurnia Highway South
76201	LiurniaOfTheLakes	Liurnia Lake Shore
76217	LiurniaOfTheLakes	Artist's Shack (Liurnia of the Lakes)
73421	LiurniaOfTheLakes	Liurnia Tower Bridge
76206	LiurniaOfTheLakes	Main Academy Gate
76214	LiurniaOfTheLakes	Main Caria Manor Gate
76231	LiurniaOfTheLakes	Manor Lower Level
76230	LiurniaOfTheLakes	Manor Upper Level
76226	LiurniaOfTheLakes	Mausoleum Compound
76212	LiurniaOfTheLakes	Northern Liurnia Lake Shore
76247	LiurniaOfTheLakes	Ranni's Chamber
76228	LiurniaOfTheLakes	Ranni's Rise
76229	LiurniaOfTheLakes	Ravine-Veiled Village
73202	LiurniaOfTheLakes	Raya Lucaria Crystal Tunnel
76218	LiurniaOfTheLakes	Revenger's Shack
73003	LiurniaOfTheLakes	Road's End Catacombs
76213	LiurniaOfTheLakes	Road to the Manor
76232	LiurniaOfTheLakes	Royal Moongazing Grounds
76225	LiurniaOfTheLakes	Ruined Labyrinth
76203	LiurniaOfTheLakes	Scenic Isle
76215	LiurniaOfTheLakes	Slumbering Wolf's Shack
76211	LiurniaOfTheLakes	Sorcerer's Isle
76205	LiurniaOfTheLakes	South Raya Lucaria Gate
73104	LiurniaOfTheLakes	Stillwater Cave
73420	LiurniaOfTheLakes	Study Hall Entrance
76241	LiurniaOfTheLakes	Temple Quarter
76227	LiurniaOfTheLakes	The Four Belfries
76235	LiurniaOfTheLakes	The Ravine
76220	LiurniaOfTheLakes	Village of the Albinaurics
76208	BellumHighway	Bellum Church
76240	BellumHighway	Church of Inhibition
76207	BellumHighway	East Raya Lucaria Gate
76239	BellumHighway	Frenzied Flame Village Outskirts
76209	BellumHighway	Grand Lift of Dectus
73900	RuinStrewnPrecipice	Magma Wyrm
73901	RuinStrewnPrecipice	Ruin-Strewn Precipice
73902	RuinStrewnPrecipice	Ruin-Strewn Precipice Overlook
76252	MoonlightAltar	Altar South
76251	MoonlightAltar	Cathedral of Manus Celes
76250	MoonlightAltar	Moonlight Altar
71402	AcademyOfRayaLucaria	Church of the Cuckoo
71401	AcademyOfRayaLucaria	Debate Parlour
71400	AcademyOfRayaLucaria	Raya Lucaria Grand Library
71403	AcademyOfRayaLucaria	Schoolhouse Classroom
76300	AltusPlateau	Abandoned Coffin
76303	AltusPlateau	Altus Highway Junction
76301	AltusPlateau	Altus Plateau
73205	AltusPlateau	Altus Tunnel
76306	AltusPlateau	Bower of Bounty
76322	AltusPlateau	Castellan's Hall
76302	AltusPlateau	Erdtree-Gazing Hill
76304	AltusPlateau	Forest-Spanning Greatbridge
73204	AltusPlateau	Old Altus Tunnel
73118	AltusPlateau	Perfumer's Grotto
76305	AltusPlateau	Rampartside Path
76307	AltusPlateau	Road of Iniquity Side Path
73119	AltusPlateau	Sage's Cave
73008	AltusPlateau	Sainted Hero's Grave
76321	AltusPlateau	Shaded Castle Inner Gate
76320	AltusPlateau	Shaded Castle Ramparts
73012	AltusPlateau	Unsightly Catacombs
76313	AltusPlateau	Windmill Heights
76308	AltusPlateau	Windmill Village
76350	MtGelmir	Bridge of Iniquity
76356	MtGelmir	Craftsman's Shack
76351	MtGelmir	First Mt. Gelmir Campsite
73009	MtGelmir	Gelmir Hero's Grave
76352	MtGelmir	Ninth Mt. Gelmir Campsite
76357	MtGelmir	Primeval Sorcerer Azur
76353	MtGelmir	Road of Iniquity
73107	MtGelmir	Seethewater Cave
76354	MtGelmir	Seethewater River
76355	MtGelmir	Seethewater Terminus
73109	MtGelmir	Volcano Cave
73007	MtGelmir	Wyndham Catacombs
73013	CapitalOutskirts	Auriza Side Tomb
73010	CapitalOutskirts	Auzira Hero's Grave
76314	CapitalOutskirts	Capital Rampart
73430	CapitalOutskirts	Divine Tower of West Altus
73432	CapitalOutskirts	Divine Tower of West Altus: Gate
76311	CapitalOutskirts	Hermit Merchant's Shack
76310	CapitalOutskirts	Minor Eerdtree Church
76312	CapitalOutskirts	Outer Wall Battleground
76309	CapitalOutskirts	Outer Wall Phantom Tree
73431	CapitalOutskirts	Sealed Tunnel
71606	VolcanoManor	Abductor Virgin
71605	VolcanoManor	Audience Pathway
71604	VolcanoManor	Guest Hall
71603	VolcanoManor	Prison Town Church
71600	VolcanoManor	Rykard, Lord of Blasphemy
71607	VolcanoManor	Subterranean Inquisition Chamber
71601	VolcanoManor	Temple of Eiglay
71602	VolcanoManor	Volcano Manor
71104	LeyndellRoyalCapital	Avenue Balcony
71109	LeyndellRoyalCapital	Divine Bridge
71102	LeyndellRoyalCapital	East Capital Rampart
71100	LeyndellRoyalCapital	Elden Throne
71101	LeyndellRoyalCapital	Erdtree Sanctuary
71108	LeyndellRoyalCapital	Fortified Manor, First Floor
71103	LeyndellRoyalCapital	Lower Capital Church
71107	LeyndellRoyalCapital	Queen's Bedchamber
71105	LeyndellRoyalCapital	West Capital Rampart
73500	SubterraneanShunningGrounds	Cathedral of the Forsaken
73502	SubterraneanShunningGrounds	Forsaken Depths
73504	SubterraneanShunningGrounds	Frenzied Flame Proscription
73503	SubterraneanShunningGrounds	Leyndell Catacombs
73501	SubterraneanShunningGrounds	Underground Roadside
71123	LeyndellAshenCapital	Leyendell, Capital of Ash
71125	LeyndellAshenCapital	Divine Bridge
71122	LeyndellAshenCapital	East Capital Rampart
71120	LeyndellAshenCapital	Elden Throne
71121	LeyndellAshenCapital	Erdtree Sanctuary
71124	LeyndellAshenCapital	Queen's Bedchamber
71900	StonePlatform	Fractured Marika
73120	Caelid	Abandoned Cave
76403	Caelid	Caelem Ruins
73015	Caelid	Caelid Catacombs
76405	Caelid	Caelid Highway South
76404	Caelid	Cathedral of Dragon Communion
76415	Caelid	Chair-Crypt of Sellia
76420	Caelid	Chamber Outside the Plaza
76418	Caelid	Church of the Plague
76410	Caelid	Deep Siofra Well
76402	Caelid	Fort Gael North
73207	Caelid	Gael Tunnel
73121	Caelid	Gaol Cave
76417	Caelid	Impassable Greatbridge
73014	Caelid	Minor Eerdtree Catacombs
73257	Caelid	Rear Gael Tunnel Entrance
76419	Caelid	Redmane Castle Plaza
76401	Caelid	Rotview Balcony
76414	Caelid	Sellia Backstreets
73208	Caelid	Sellia Crystal Tunnel
76416	Caelid	Sellia Under-Stair
76400	Caelid	Smoldering Church
76409	Caelid	Smoldering Wall
